=== MÉTRICAS FINALES ===
Distancia recorrida (m),Distancia óptima (m),Diferencia (m),Eficiencia (%),Compensación inicial (m)
13.36,10.67,2.69,79.84,0.00

=== RUTAS POSIBLES ===
Número de Ruta,Waypoints,Distancia (m),Es Óptima
230,start -> res R -> huevo R -> helado R -> cerdo R -> papa R -> yuca R -> cashier,16.62,No
231,start -> cerdo R -> res R -> huevo R -> yuca R -> papa R -> helado R -> cashier,16.62,No
232,start -> huevo R -> yuca R -> cerdo R -> papa R -> helado R -> res R -> cashier,16.62,No
233,start -> helado R -> yuca R -> papa R -> res R -> huevo R -> cerdo R -> cashier,16.62,No
234,start -> helado R -> papa R -> yuca R -> huevo R -> cerdo R -> res R -> cashier,16.64,No
235,start -> yuca R -> papa R -> huevo R -> res R -> cerdo R -> helado R -> cashier,16.65,No
236,start -> papa R -> yuca R -> cerdo R -> helado R -> huevo R -> res R -> cashier,16.66,No
237,start -> huevo R -> cerdo R -> papa R -> res R -> helado R -> yuca R -> cashier,16.68,No
238,start -> papa R -> yuca R -> huevo R -> res R -> cerdo R -> helado R -> cashier,16.68,No
239,start -> res R -> yuca R -> huevo R -> cerdo R -> papa R -> helado R -> cashier,16.71,No
240,start -> huevo R -> res R -> papa R -> yuca R -> helado R -> cerdo R -> cashier,16.71,No
241,start -> res R -> yuca R -> papa R -> helado R -> cerdo R -> huevo R -> cashier,16.72,No
242,start -> huevo R -> yuca R -> papa R -> helado R -> cerdo R -> res R -> cashier,16.73,No
243,start -> cerdo R -> yuca R -> res R -> papa R -> helado R -> huevo R -> cashier,16.74,No
244,start -> res R -> huevo R -> helado R -> yuca R -> papa R -> cerdo R -> cashier,16.74,No
245,start -> res R -> huevo R -> papa R -> cerdo R -> yuca R -> helado R -> cashier,16.74,No
246,start -> helado R -> res R -> cerdo R -> huevo R -> yuca R -> papa R -> cashier,16.76,No
247,start -> res R -> yuca R -> huevo R -> papa R -> cerdo R -> helado R -> cashier,16.78,No
248,start -> papa R -> yuca R -> helado R -> res R -> cerdo R -> huevo R -> cashier,16.79,No
249,start -> cerdo R -> res R -> helado R -> yuca R -> papa R -> huevo R -> cashier,16.80,No
250,start -> papa R -> res R -> yuca R -> cerdo R -> helado R -> huevo R -> cashier,16.80,No
251,start -> helado R -> yuca R -> cerdo R -> res R -> papa R -> huevo R -> cashier,16.82,No
252,start -> cerdo R -> huevo R -> papa R -> res R -> yuca R -> helado R -> cashier,16.82,No
253,start -> yuca R -> huevo R -> cerdo R -> papa R -> res R -> helado R -> cashier,16.85,No
254,start -> yuca R -> res R -> huevo R -> cerdo R -> papa R -> helado R -> cashier,16.85,No
255,start -> papa R -> yuca R -> helado R -> huevo R -> cerdo R -> res R -> cashier,16.86,No
256,start -> huevo R -> yuca R -> papa R -> helado R -> res R -> cerdo R -> cashier,16.86,No
257,start -> yuca R -> papa R -> res R -> helado R -> cerdo R -> huevo R -> cashier,16.86,No
258,start -> cerdo R -> res R -> helado R -> huevo R -> papa R -> yuca R -> cashier,16.88,No
259,start -> helado R -> huevo R -> papa R -> res R -> cerdo R -> yuca R -> cashier,16.89,No
260,start -> huevo R -> helado R -> papa R -> res R -> cerdo R -> yuca R -> cashier,16.90,No
261,start -> cerdo R -> helado R -> res R -> papa R -> yuca R -> huevo R -> cashier,16.91,No
262,start -> cerdo R -> helado R -> papa R -> yuca R -> res R -> huevo R -> cashier,16.92,No
263,start -> helado R -> papa R -> cerdo R -> huevo R -> yuca R -> res R -> cashier,16.92,No
264,start -> res R -> yuca R -> papa R -> helado R -> huevo R -> cerdo R -> cashier,16.93,No
265,start -> res R -> yuca R -> cerdo R -> huevo R -> papa R -> helado R -> cashier,16.93,No
266,start -> yuca R -> res R -> huevo R -> papa R -> cerdo R -> helado R -> cashier,16.93,No
267,start -> helado R -> yuca R -> cerdo R -> papa R -> huevo R -> res R -> cashier,16.95,No
268,start -> helado R -> res R -> huevo R -> papa R -> cerdo R -> yuca R -> cashier,16.96,No
269,start -> cerdo R -> helado R -> huevo R -> yuca R -> papa R -> res R -> cashier,16.97,No
270,start -> huevo R -> res R -> helado R -> papa R -> cerdo R -> yuca R -> cashier,16.98,No
271,start -> helado R -> cerdo R -> papa R -> huevo R -> yuca R -> res R -> cashier,17.00,No
272,start -> res R -> yuca R -> papa R -> huevo R -> helado R -> cerdo R -> cashier,17.00,No
